,fn,cela_hist_0,cela_hist_10,cela_hist_20,cela_hist_30,cela_hist_40,cela_hist_50,cela_hist_60,bstat_64_0,bstat_64_1,bstat_64_2,bstat_64_3,bstat_64_4,bstat_64_5,bstat_64_6,bstat_64_7,bstat_64_8,bstat_64_9,type,rnd,id
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp1.jpg,0.21086486180623373,0.4999969800313313,0.49999999999999994,0.49999999999999994,0.9999601046244303,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp10.jpg,0.2106602986653646,0.49999698003133136,0.5,0.5,0.9999601046244304,1.0,1.0,,,,,,,,,,,1,True,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp11.jpg,0.21068604787190756,0.4999969800313314,0.5,0.5,0.9999597867329916,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp12.jpg,0.21079031626383463,0.49999698003133136,0.5,0.5,0.9999601046244302,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp13.jpg,0.21019601821899414,0.4999969800313314,0.5,0.5,0.9999594688415527,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp14.jpg,0.21091906229654947,0.4999969800313314,0.5,0.5,0.999959627787272,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp2.jpg,0.210786501566569,0.49999698003133136,0.5,0.5,0.9999602635701497,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp3.jpg,0.21114365259806314,0.49999698003133136,0.5,0.5,0.9999602635701497,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp4.jpg,0.21214516957600912,0.49999698003133136,0.5,0.5,0.9999602635701499,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp5.jpg,0.21115748087565103,0.4999969800313314,0.5,0.5,0.9999599456787108,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp6.jpg,0.21138238906860352,0.4999969800313314,0.5,0.5,0.9999597867329916,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp7.jpg,0.21082162857055664,0.4999969800313314,0.5,0.5,0.9999602635701498,1.0,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp8.jpg,0.2108292579650879,0.4999969800313314,0.5,0.5,0.9999601046244302,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/00007tamp9.jpg,0.2107508977254232,0.49999698003133136,0.5,0.5,0.9999601046244304,1.0,1.0,,,,,,,,,,,1,True,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/1b2d34d70ee007b07baf5baa17b0fa75.jpg,0.437509948532923,0.437509948532923,0.49994473037264997,0.49994473037264997,0.937509948532923,0.99994473037265,0.99994473037265,,,,,,,,,,,1,True,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/2e993800e1b136fa768a7b5177460575.jpg,0.3799533762057878,0.4999469453376206,0.4999999999999999,0.4999999999999999,0.9998295819935691,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/41fb815520237d2a478908c8c2806e5b.jpg,0.43727416725488216,0.4999086165170918,0.4999905465362508,0.4999989496151389,0.9975988202077241,0.9999905465362509,0.9999989496151389,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/433354f280c7c0e6a4afd488b7de48b4.jpg,0.44553344715874266,0.4999001291480606,0.4999986319061378,0.4999986319061378,0.9999001291480606,0.9999986319061378,0.9999986319061378,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/63d331dbd6186fcc21d19f16f7dacc1e.jpg,0.3994493006993007,0.499875437062937,0.4999989073426573,0.49999999999999994,0.9991663024475523,0.9999967220279721,1.0,,,,,,,,,,,1,False,1
0,/Users/joosep/Dropbox/diplohack_team2/photos/training/fake/73cc702f0a6e5452f100a34a6c655934.jpg,0.4040566908525828,0.4979494549405868,0.5,0.5,0.9883247455805204,0.9999999999999999,0.9999999999999999,,,,,,,,,,,1,False,1
